id,name,description,votes,sortorder
69,Nimr al-Nimr, Shia religious leader,1,141
70,David Bowie," singer-songwriter musician (""Space Oddity"" ""Heroes"" ""Starman"") and actor (Labyrinth Zoolander)",4,146
71,Lawrence Phillips, football player (University of Nebraska St. Louis Rams) and convicted felon,1,94
72,Alan Rickman, actor (Harry Potter Die Hard Love Actually),3,57
73,Ted Marchibroda," football player (Pittsburgh Steelers, Chicago Cardinals) and coach (Baltimore Colts, Baltimore Ravens)",1,93
74,Glenn Frey, songwriter musician (Eagles) and actor (Jerry Maguire),3,119
75,Marvin Minsky, cognitive scientist and pioneer in artificial intelligence,1,0
76,Henry Worsley, adventurer,1,71
77,LaVoy Finicum, cattle rancher and militant (Malheur National Wildlife Refuge Occupation),2,136
78,Abe Vigoda," actor (The Godfather, Barney Miller, Late Night with Conan O'Brien)",3,144
79,Buddy Cianci," politician and radio host, Mayor of Providence, Rhode Island (1975–1984, 1991–2002)",1,27
80,Sir Terry Wogan, broadcaster (BBC),2,64
81,Dave Mirra, BMX rider X Games winner (1997 1999 2000 2001 2002 2004 2005),1,82
82,Edgar Mitchell, astronaut (Apollo 14),2,85
83,Nathan Barksdale," heroin dealer, dramatized in The Wire",2,65
84,Antonin Scalia," judge, Associate Justice of the Supreme Court (since 1986)",4,99
85,Boutros Boutros-Ghali, politician and diplomat Secretary-General of the United Nations (1992–1996),3,154
86,Umberto Eco, philosopher and novelist (The Name of the Rose Foucault's Pendulum Numero Zero),4,55
87,Harper Lee, author (To Kill a Mockingbird),4,86
88,Pat Conroy, author (The Prince of Tides The Great Santini The Lords of Discipline),1,116
89,Paul Couch, football player (Geelong),1,83
90,Nancy Reagan, First Lady (1981–1989) and actress (Hellcats of the Navy Donovan's Brain The Next Voice You Hear...),4,104
91,Keith Emerson, progressive rock and rock keyboardist (The Nice; Emerson Lake & Palmer),2,149
92,Sylvia Anderson, television producer and voice actress (Thunderbirds),2,45
93,"Frank Sinatra, Jr.", singer (That Face!) and actor (Hollywood Homicide),3,88
94,Lothar Späth, politician Minister President of Baden-Württemberg (1978–1991),1,96
95,Guido Westerwelle, politician Minister for Foreign Affairs (2009–2013) and Vice-Chancellor (2009–2011),1,95
96,Rob Ford, politician Mayor of Toronto (2010–2014),3,145
97,Phife Dawg, rap musician (A Tribe Called Quest),2,127
98,Joe Garagiola Sr.," baseball player (Cardinals, Cubs, Pirates) and Hall of Fame sportscaster (MLB GOTW), World Series champion (1946)",1,110
99,Ken Howard," actor (1776, The White Shadow, J. Edgar, Crossing Jordan), President of SAG/SAG-AFTRA (2009–2016), Emmy winner (1981, 2009)",2,129
100,Johan Cruyff, football player and manager (AFC Ajax FC Barcelona Feyenoord national team),2,150
101,"Earl Hamner, Jr.", television writer and producer (Falcon Crest The Waltons The Twilight Zone),2,23
102,Garry Shandling, comedian actor and writer (The Larry Sanders Show Iron Man 2 Over the Hedge),3,137
103,Mother Angelica," Poor Clare nun, founder of the Eternal Word Television Network",1,52
104,Patty Duke, actress (The Miracle Worker The Patty Duke Show Valley of the Dolls) President of SAG (1985–1988) Oscar winner (1962),3,117
105,Imre Kertész, writer laureate of the Nobel Prize in Literature (2002),2,151
106,Amber Rayne, pornographic actress,1,133
107,Merle Haggard," singer-songwriter (""Okie from Muskogee"" ""The Fightin' Side of Me"" ""Carolyn"") Grammy winner (1984 1998 1999)",4,11
108,Will Smith, football player (New Orleans Saints) Super Bowl champion (2010),1,134
109,Milt Pappas," baseball player (Baltimore Orioles, Cincinnati Reds, Chicago Cubs)",1,84
110,Chyna," professional wrestler (WWF) and actress (1 Night in China, 3rd Rock from the Sun, Cougar Club)",3,118
111,Prince," musician songwriter (""Purple Rain"" ""Little Red Corvette"") and actor Oscar (1984) and Grammy (1984 1986 2004 2007) winner",4,77
112,Willie L. Williams," police commissioner (Los Angeles, Philadelphia)",1,21
113,Conrad Burns," politician, Senator from Montana (1989–2007)",2,66
114,Solomon W. Golomb, mathematician and engineer,1,78
115,William Schallert," actor (The Patty Duke Show, The Many Loves of Dobie Gillis, In the Heat of the Night), President of SAG (1979–1981)",1,130
116,Morley Safer, journalist (60 Minutes),3,53
117,Muhammad Ali, boxer Olympic gold medalist (1960) three-time WBC world heavyweight champion (1964 1974 1978),4,5
118,Sir Peter Shaffer," playwright (Amadeus, Equus, Black Comedy) and screenwriter, Tony (1975, 1981) and Oscar winner (1985)",2,46
119,Kimbo Slice, mixed martial artist (Bellator UFC) boxer and actor (Merry Christmas Drake & Josh),2,43
120,Christina Grimmie, singer-songwriter (Find Me) and talent show participant (The Voice),1,38
121,Gordie Howe," Hall of Fame ice hockey player (Detroit Red Wings, Hartford Whalers)",2,47
122,George Voinovich," politician, Senator from Ohio (1999–2011), Governor of Ohio (1991–1998), Mayor of Cleveland (1980–1989)",1,73
123,Janet Waldo," actress and voice artist (The Jetsons, The Flintstones, Wacky Races)",1,97
124,Anton Yelchin, actor (Star Trek Alpha Dog Fright Night),4,2
125,Alvin Toffler," writer and futurist (Future Shock, The Third Wave)",3,54
126,Buddy Ryan," football head coach (Philadelphia Eagles, Arizona Cardinals) and defensive coordinator (Chicago Bears, Houston Oilers)",2,40
127,Pat Summitt, basketball coach (Tennessee Lady Volunteers),2,147
128,Caroline Aherne, comedian actress and writer (The Royle Family The Mrs Merton Show The Fast Show),1,107
129,Michael Cimino," screenwriter and director (The Deer Hunter, Thunderbolt and Lightfoot, Heaven's Gate)",2,120
130,Elie Wiesel," writer (Night), political activist and Holocaust survivor, Nobel Laureate (1986)",4,139
131,Qandeel Baloch, model and social media celebrity,1,115
132,Garry Marshall, director producer writer and actor (Happy Days Pretty Woman Murphy Brown),2,34
133,Mark Takai, politician member of the U.S. House of Representatives for Hawaii's 1st district (since 2015) and the Hawaii House of Representatives (1994–2015),1,48
134,Dennis Green, football coach (Minnesota Vikings Arizona Cardinals Northwestern Wildcats),1,41
135,Marni Nixon, singer (The King and I West Side Story My Fair Lady) and actress (The Sound of Music),2,140
136,Tim LaHaye, Christian author (Left Behind),2,152
137,James M. Nederlander, Broadway theater owner and producer (Nederlander Organization),2,75
138,Miss Cleo (Youree Dell Harris), television psychic,3,44
139,John Saunders," sports journalist (ESPN, The Sports Reporters) and broadcaster (ESPN on ABC)",1,28
140,Kenny Baker," actor (Star Wars, Time Bandits, Flash Gordon)",2,91
141,João Havelange," football executive, President of FIFA (1974–1998)",1,12
142,John McLaughlin, political commentator and television personality (The McLaughlin Group),2,67
143,Lou Pearlman," record producer, music manager (Backstreet Boys, NSYNC) and convicted criminal",3,42
144,Toots Thielemans," jazz guitarist, whistler and harmonica player (Man Bites Harmonica!)",3,92
145,Rudy Van Gelder, recording engineer,2,69
146,Joy Browne, talk show host,1,24
147,Gene Wilder, actor (The Producers Willy Wonka & the Chocolate Factory Young Frankenstein) screenwriter and author,4,60
148,Islam Karimov, politician President (since 1990),1,111
149,Phyllis Schlafly, constitutional lawyer conservative activist and author,3,101
150,The Lady Chablis, actress (Midnight in the Garden of Good and Evil),3,122
151,Edward Albee," playwright (Who's Afraid of Virginia Woolf?, A Delicate Balance, The Goat, or Who Is Sylvia?), Tony (1963, 2002) and Pulitzer Prize winner (1967, 1975, 1994)",4,68
152,Shawty Lo, hip-hop musician (D4L),1,114
153,Buckwheat Zydeco, accordionist and bandleader,3,109
154,Arnold Palmer, Hall of Fame professional golfer,4,18
155,Shimon Peres, statesman President (2007–2014) Prime Minister (1977 1984–1986 1995–1996) Nobel Laureate (1994),2,8
156,Dario Fo," playwright, Nobel Literature Prize laureate (1997)",1,156
157,Dennis Byrd, football player (New York Jets),158,157
158,Natalie Babbitt, children's author and illustrator (Tuck Everlasting),159,158
159,Barbara Atkinson, actress (Z-Cars),0,9999
160,Staryl C. Austin, air force brigadier general,0,9999
161,Ulrich Beck, sociologist,0,9999
162,Fiona Cumming, television director (Doctor Who),0,9999
163,Eric Cunningham," politician, Ontario MPP for Wentworth North (1975–1984)",0,9999
164,Donna Douglas, actress (The Beverly Hillbillies Frankie and Johnny The Twilight Zone),0,9999
165,Matthew Franjola, journalist (Associated Press) and photographer,0,9999
166,Jeff Golub, guitarist,0,9999
167,Omar Karami," politician, Prime Minister (1990–1992, 2004–2005)",0,9999
168,Bill Keating," football player (Denver Broncos, Miami Dolphins) and attorney",0,9999
169,Tore Helge Larsen, harness racer,0,9999
170,Géry Leuliet," Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985)",0,9999
171,Boris Morukov," physician and cosmonaut, STS-106 mission specialist",0,9999
172,Kjell Noreik, physician,0,9999
173,Mrunalini Devi Puar," educator, Chancellor of the Maharaja Sayajirao University of Baroda (since 1988)",0,9999
174,Ninón Sevilla, actress (Aventurera),0,9999
175,William Lloyd Standish," federal judge, District Court Judge for the Western District of Pennsylvania (1987–2002)",0,9999
176,Manasa Vaniqi," civil servant and lieutenant colonel, Permanent Secretary for Sugar (since 2009)",0,9999
177,Miller Williams, poet,0,9999
178,Per-Olof Åstrand, physiologist,0,9999
179,James A. Barlow," politician, member of the Wyoming House of Representatives (1983–1987)",0,9999
180,Charles Baur," politician, President of the Regional Council of Picardy (1976–1978, 1985–2004)",0,9999
181,Noel Cobb," philosopher, psychologist and author",0,9999
182,Little Jimmy Dickens," country music singer (""May the Bird of Paradise Fly Up Your Nose"")",0,9999
183,Baldina Di Vittorio, politician,0,9999
184,Danny Dunton, speedway rider and promoter,0,9999
185,Maurice Fontaine, politician,0,9999
186,Bob Gilmore, musicologist,0,9999
187,Vasant Gowarikar, scientist and ISRO chairman,0,9999
188,Basil Hansen, Olympic ice hockey player (1960),0,9999
189,Lloyd House," politician, member of the Arizona House of Representatives (1967–1968)",0,9999
190,Lam Pou-chuen, dubbing artist (Doraemon),0,9999
191,Abu Anas al-Libi, al-Qaeda member in United States custody,0,9999
192,John McQuilten," politician, member of the Victorian Legislative Council for Ballarat (1999–2006)",0,9999
193,Derek Minter, Grand Prix motorcycle and short-circuit road racer,0,9999
194,Arthur Neu," politician, Lieutenant Governor of Iowa (1973–1979), member of the Iowa Senate (1967–1973)",0,9999
195,Tihomir Novakov, physicist,0,9999
196,István Pásztor, Olympic cyclist (1952),0,9999
197,Arpád Račko, sculptor,0,9999
198,Vincent Cartledge Reddish," astronomer, Astronomer Royal for Scotland (1975–1980)",0,9999
199,Kristian Sundtoft, politician,0,9999
200,Jamal Uddin Ahmad," politician, Deputy Prime Minister (1977–1982)",0,9999
201,Daniel Albright, academic,0,9999
202,Martin Anderson, economist and political adviser,0,9999
203,Adunni Bankole, businesswoman,0,9999
204,Edward Brooke," politician, member of the U.S. Senate from Massachusetts (1967–1979)",0,9999
205,Bryan Caldwell, football player (Houston Oilers),0,9999
206,Paulinus Costa, Roman Catholic prelate Archbishop of Dhaka (2005–2011),0,9999
207,Maher Hathout, Islamic leader,0,9999
208,Bill Jessup, football player (San Francisco 49ers),0,9999
209,Rueben Philip Job," United Methodist prelate, Bishop of the Iowa Episcopal Area (1984–1992)",0,9999
210,Muath al-Kasasbeh, fighter pilot and ISIS hostage,0,9999
211,Roger Kitter, actor ('Allo 'Allo!) and entertainer,0,9999
212,Olga Knyazeva," fencer, Olympic champion (1976)",0,9999
213,Bernice Madigan," supercentenarian, world's fifth-oldest person",0,9999
214,Willy Ovesen, civil servant,0,9999
215,Terence Ranger, historian,0,9999
216,Jaime Romero Móran, gymnast,0,9999
217,Allie Sherman, football player (Philadelphia Eagles) and coach (New York Giants),0,9999
218,Jouko Törmänen," ski jumper, Olympic champion (1980)",0,9999
219,Chang Sung-hwan," general and diplomat, Chief of Staff of the Air Force (1962–1964)",0,9999
220,Elisabetta Catalano, fine-art photographer,0,9999
221,Pino Daniele, singer and songwriter,0,9999
222,Chitresh Das, dancer instructor and choreographer,0,9999
223,Al Delugach, Pulitzer Prize-winning reporter,0,9999
224,Lance Diamond, singer,0,9999
225,Jay Furman, real estate developer,0,9999
226,He Zhenliang, politician and diplomat,0,9999
227,Gene Kemp, children's author (The Turbulent Term of Tyke Tiler),0,9999
228,Haroldo Lara," Olympic swimmer (1952, 1956)",0,9999
229,Azizullah Lodin, politician,0,9999
230,Gasan Magomedov, footballer (Anzhi-2),0,9999
231,John McPhee," footballer (Blackpool, Motherwell)",0,9999
232,Stu Miller," baseball player (San Francisco Giants, Baltimore Orioles)",0,9999
233,Juan Isidro Moreno, poet,0,9999
234,Hasan Hazer Moshar, artist,0,9999
235,Jack Parr, basketball player (Cincinnati Royals),0,9999
236,Natalino Pescarolo," Roman Catholic prelate, Bishop of Fossano (1992–2005) and Cuneo (1999–2005)",0,9999
237,Hank Peters, baseball executive (Baltimore Orioles),0,9999
238,Ahuti Prasad, actor,0,9999
239,Ives Roqueta, Occitan author,0,9999
240,Eli Sagan," clothing manufacturer, cultural anthropology author and Nixon Enemy",0,9999
241,Michele Serros, novelist and poet,0,9999
242,Upendra Trivedi, actor and director,0,9999
243,Richard D. Veltri," politician, member of the Connecticut House of Representatives",0,9999
244,René Vautier, film director (Avoir 20 ans dans les Aurès),0,9999
245,Bernard Williams, film producer (A Clockwork Orange Daredevil Flash Gordon),0,9999
246,Edmund Wnuk-Lipiński, academic,0,9999
247,János Zsombolyai," cinematographer, film director and screenwriter",0,9999
248,Joy Ali, middleweight boxer,0,9999
249,Jean-Pierre Beltoise, Formula One racing driver winner of the 1972 Monaco Grand Prix,0,9999
250,Al Bendich, civil rights attorney,0,9999
251,Khan Bonfils," actor (Star Wars: Episode I – The Phantom Menace, Batman Begins, Skyfall)",0,9999
252,Jim Burton, ice hockey player (Hershey Bears) and coach,0,9999
253,Jack Calmes," inventor, executive and musician",0,9999
254,Eylül Cansın, transgender woman,0,9999
255,Bobby Carter," politician, member of the Tennessee Senate (1995–2002)",0,9999
256,"William R. Catton, Jr.", environmental sociologist,0,9999
257,Arthur E. Chase," politician, member of the Massachusetts Senate (1991–1995)",0,9999
258,Albert Firth, rugby league player (Wakefield Trinity),0,9999
259,Antonio Fuertes," footballer (Valencia, Elche)",0,9999
260,Vadim Glovatsky, ice hockey player (Metallurg Magnitogorsk),0,9999
261,Joe Haines," politician, member of the Ohio House of Representatives (1981–1999)",0,9999
262,Ken Hale, football player and manager,0,9999
263,Niels Hansen, diplomat,0,9999
264,Milton Hebald, sculptor,0,9999
265,Dan Held, ice hockey player,0,9999
266,Martin Joseph, politician Minister of National Security (2003–2010),0,9999
267,Mustafa Kamal, judge Chief Justice (1999),0,9999
268,Anthony Ledwith, chemist,0,9999
269,Earl MacNaughton, physicist,0,9999
270,Bernard Joseph McLaughlin," Roman Catholic prelate, Auxiliary Bishop of Buffalo (1968–1988)",0,9999
271,Harold Murphy," politician, member of the Illinois House of Representatives (1993–2003)",0,9999
272,Ganesh Patro, playwright and screenwriter,0,9999
273,Alfons Peeters, footballer,0,9999
274,Joan Peters, author (From Time Immemorial),0,9999
275,King Sporty, reggae musician,0,9999
276,Geoff Truett, footballer (Crystal Palace),0,9999
277,Anton Amann, chemist,0,9999
278,Else M. Barth, philosopher,0,9999
279,Vlastimil Bubník," ice hockey player and footballer, Olympic bronze medalist (1964)",0,9999
280,Buffalo Tiger," politician, Chairman of the Miccosukee Tribe of Indians of Florida (1962–1985)",0,9999
281,Joseph Djida," Roman Catholic prelate, Bishop of Ngaoundéré (since 2000)",0,9999
282,Johannes de Villiers Graaff, economist,0,9999
283,Lawrence Gushee, musicologist,0,9999
284,Jean Hendriks," politician, member of the Senate (1981–1991)",0,9999
285,Francesca Hilton, actress and socialite,0,9999
286,Ron Hovey, football player (Geelong),0,9999
287,Arthur Jackson, sports shooter,0,9999
288,Sir Basil John Mason, meteorologist,0,9999
289,George H. McKee, air force lieutenant general,0,9999
290,Lance Percival," actor (That Was the Week That Was, The Beatles) and singer (""Shame and Scandal in the Family"")",0,9999
291,Gilberto Perez, professor of film studies,0,9999
292,Sanford E. Reisenbach, marketing executive (Warner Bros.),0,9999
293,Patricia Roppel, historian and teacher specialist in the history of Southeast Alaska,0,9999
294,Alexandru Segal, economist and chess player,0,9999
295,Subhas Anandan, lawyer,0,9999
296,José Arias, Olympic alpine skier (1948),0,9999
297,Ricardo Bueno Fernández," politician, member of the Senate (1977–1979, 1993–2000) and Congress of Deputies (2000–2004)",0,9999
298,Gilbert Finn," businessman, Lieutenant Governor of New Brunswick (1987–1994)",0,9999
299,Michael Fisher, solicitor,0,9999
300,Tadeusz Konwicki, writer and filmmaker,0,9999
301,Mompati Merafhe," general and politician, Vice President (2008–2012)",0,9999
302,"Arch A. Moore, Jr."," politician, Governor of West Virginia (1969–1977, 1985–1989)",0,9999
303,J. P. Parisé, ice hockey player (Minnesota North Stars),0,9999
304,Jethro Pugh, football player (Dallas Cowboys),0,9999
305,Archie Radebe, footballer (AmaZulu) and coach,0,9999
306,B. S. Abdur Rahman, business executive and philanthropist (B. S. Abdur Rahman University),0,9999
307,Tim Roberts," professional wrestler (WWC, NWS, ECW)",0,9999
308,David Rolfe, Paralympic swimmer,0,9999
309,Julio Scherer García, journalist,0,9999
310,Herb Simpson, baseball player (Seattle Steelheads),0,9999
311,Rod Taylor, actor (The Time Machine The Birds 101 Dalmatians Inglorious Basterds),0,9999
312,Nancy Thomas, television producer (Monitor),0,9999
313,Cabu,cartoonist,0,9999
314,Elsa Cayat,psychoanalyst and columnist,0,9999
315,Philippe Honoré,cartoonist,0,9999
316,Bernard Maris,economist and journalist,0,9999
317,Mustapha Ourrad, copyeditor,0,9999
318,Tignous,cartoonist,0,9999
319,Georges Wolinski,cartoonist,0,9999
320,Andraé Crouch, gospel singer,0,9999
321,Kep Enderby," politician and judge, MP (1970–1975), Supreme Court Justice of New South Wales (1982–1992)",0,9999
322,Patsy Garrett," singer and actress (Benji, Nanny and the Professor, Room 222)",0,9999
323,Jean-Claude Gasigwa, tennis player (Davis Cup team),0,9999
324,Peter Hill, footballer (Coventry City),0,9999
325,Jenő Lasztovicza," politician, MP (since 1998)",0,9999
326,Curtis Lee," singer (""Pretty Little Angel Eyes"")",0,9999
327,Hubert Markl, biologist,0,9999
328,Ray McFall, nightclub owner (The Cavern Club),0,9999
329,Roy McKie, illustrator,0,9999
330,Richard Meade, equestrian three-time Olympic champion,0,9999
331,Leif Rantala, linguist,0,9999
332,Erbey Satterfield," politician, member of the Utah House of Representatives",0,9999
333,Egil Toreng, newspaper editor and politician,0,9999
334,Nelson Townsend, athletic director (Florida A&M),0,9999
335,Angelo Anquilletti," footballer (A.C. Milan, national team)",0,9999
336,Jasodhara Bagchi, feminist critic and academic,0,9999
337,Amedy Coulibaly, jihadist,0,9999
338,Harry A. DeMaso," politician, member of the Michigan Senate (1967–1986)",0,9999
339,Ah Chew Goo, basketball player and coach (University of Hawaii),0,9999
340,Michel Jeury, science fiction author,0,9999
341,Robert V. Keeley, diplomat Ambassador to Mauritius (1976–1978) Zimbabwe (1980–1984) and Greece (1985–1989),0,9999
342,Sarah Kemp, actress (Sons and Daughters),0,9999
343,Chuck Locke, baseball player (Baltimore Orioles),0,9999
344,Frans Molenaar, fashion designer,0,9999
345,Józef Oleksy, politician Prime Minister (1995–1996),0,9999
346,Bud Paxson," media executive, co-founder of the Home Shopping Network, founder of Pax TV",0,9999
347,Peder Pedersen, Olympic cyclist,0,9999
348,Abdul Rahman Ya'kub," politician, Chief Minister of Sarawak (1970–1981)",0,9999
349,Whitney Reed, tennis player,0,9999
350,James L. Reveal, botanist,0,9999
351,Robert Scott, author,0,9999
352,Iqbal Sheikh, cricketer,0,9999
353,Bud Sherman," politician, member of the Legislative Assembly of Manitoba (1969–1984), member of the House of Commons (1965–1968)",0,9999
354,Paul M. Starnes," politician, member of the Tennessee House of Representatives (1972–1990)",0,9999
355,Roy Tarpley, basketball player (Dallas Mavericks),0,9999
356,Christian Vanneque, sommelier and restaurateur,0,9999
357,John Angus," children's rights advocate, Children's Commissioner (2009–2011)",0,9999
358,Jorgelina Aranda, model and actress (Il Gaucho),0,9999
359,Robert Berner, geologist and geochemist,0,9999
360,Walter Berns, constitutional law and political philosophy professor,0,9999
361,Frans Bolweg, sailor and coach,0,9999
362,Brian Clemens," screenwriter (Dr. Jekyll and Sister Hyde) and television producer (The Avengers, The Professionals)",0,9999
363,Abed Daoudieh," politician, Awqaf and Islamic Affairs Minister (1984)",0,9999
364,George Dickerson," actor (Blue Velvet, Hill Street Blues)",0,9999
365,James R. Dixon, herpetologis,0,9999
366,Tim Drummond," bassist (Bob Dylan, Neil Young)",0,9999
367,Pierre-André Fournier," Roman Catholic prelate, Archbishop of Rimouski (since 2008)",0,9999
368,Elemér Hankiss, sociologist,0,9999
369,Maeve Hillery, physician,0,9999
370,Jim Hogan," Olympic long-distance runner, European champion (1966)",0,9999
371,Harry V. Jaffa, political philosophy professor,0,9999
372,Annis Jensen, roller derby skater,0,9999
373,Frederik H. Kreuger, high voltage scientist,0,9999
374,Junior Malanda, footballer (VfL Wolfsburg national under-21 team),0,9999
375,Marko Marin, theatre director and art historian,0,9999
376,Slobodan Martinović, chess player,0,9999
377,Roger Moyer, politician Mayor of Annapolis Maryland (1965–1973),0,9999
378,Yoko Nagae Ceschina, classical music philanthropist,0,9999
379,Taylor Negron, comedian and actor (Angels in the Outfield Fast Times at Ridgemont High Bio-Dome),0,9999
380,Margit Nünke," fashion model, actress and beauty queen",0,9999
381,Ged Peck, musician,0,9999
382,George Probert, jazz musician and music editor,0,9999
383,Francesco Rosi," film director (The Mattei Affair, Christ Stopped at Eboli, Salvatore Giuliano)",0,9999
384,Francis Simard, revolution activist and criminal,0,9999
385,Hans Stoiber, poet,0,9999
386,Robert Stone, novelist (Dog Soldiers),0,9999
387,Denis Tsygurov," professional ice hockey player (Buffalo Sabres, Los Angeles Kings)",0,9999
388,Inge Vermeulen," field hockey player (national team), European champion (2009)",0,9999
389,Roger Wosahlo, footballer (Peterborough),0,9999
390,Jenő Buzánszky," footballer (Dorogi FC, national team), Olympic champion (1952), last living member of the Golden Team",0,9999
391,Gary Dighton, Olympic cyclist,0,9999
392,Anita Ekberg," actress (La Dolce Vita, Paris Holiday, Back from Eternity)",0,9999
393,Chashi Nazrul Islam, filmmaker (Ora Egaro Jon),0,9999
394,Chic Littlewood," television personality and actor (King Kong, 30 Days of Night)",0,9999
395,Albert McPherson, football player (Walsall) and coach (West Bromwich Albion),0,9999
