id,name,description,selected_by,sortorder
3393,Ajit Singh, economist,0,9999
3394,Lonnie Spurrier, Olympic middle-distance runner (1956),0,9999
3395,Tom Stagg," judge, U.S. District Court Chief Judge for the Western District of Louisiana (1984–1991)",0,9999
3396,Sir Chris Woodhead, educationalist Chief Inspector for Ofsted (1994–2000),0,9999
3397,Cristiano Araújo, singer and songwriter,0,9999
3398,Dileep Singh Bhuria, politician,0,9999
3399,Mario Biaggi," politician, member of the U.S. House of Representatives from New York (1969–1988)",0,9999
3400,Walter Browne," chess Grandmaster, six-time U.S. champion",0,9999
3401,Marva Collins, educator,0,9999
3402,Susan Ahn Cuddy, Navy officer,0,9999
3403,Ruqaiya Hasan, linguist,0,9999
3404,John Joe Nerney, Gaelic footballer (Roscommon),0,9999
3405,John Palmer, criminal,0,9999
3406,Robert Hugh Pickering, politician and curler,0,9999
3407,E L Short," farmer, politician and businessman, member of the Texas House of Representatives (1969–1979) and Senate (1979–1983)",0,9999
3408,John Winn, army officer,0,9999
3409,Lou Butera, pool player,0,9999
3410,Sir Graham Dorey," judge, Bailiff of Guernsey (1992–1999)",0,9999
3411,Gordon Fearnley, footballer (Bristol Rovers),0,9999
3412,Graham Gilchrist, football player (Carlton),0,9999
3413,Hal Gould, photographer and gallery curator,0,9999
3414,Gunnar Kulldorff, statistician,0,9999
3415,Maravene Loeschke, college administrator (Towson University),0,9999
3416,Patrick Macnee," actor (The Avengers, This Is Spinal Tap, A View to a Kill)",0,9999
3417,Hélène Monette, poet,0,9999
3418,Nerses Bedros XIX Tarmouni," Catholic hierarch, Patriarch-Catholicos of Cilicia (since 1999)",0,9999
3419,Vithal Rao, ghazal singer,0,9999
3420,Jamie Reid, writer and activist,0,9999
3421,Alejandro Romay, businessman (Canal 9),0,9999
3422,Jan de Voogd," politician, member of the House of Representatives (1977–1981)",0,9999
3423,Theodore Weesner, author,0,9999
3424,O'Kelley Whitaker," prelate, Episcopal Bishop of Central New York",0,9999
3425,Paul Ambros," Hall of Fame ice hockey player (EV Füssen, unified team)",0,9999
3426,Pétur Blöndal, politician and mathematician,0,9999
3427,Roger Bordier, author,0,9999
3428,Larry Carberry, footballer (Ipswich Town),0,9999
3429,Damion Cook, football player (Detroit Lions),0,9999
3430,Jerome M. Hughes," politician, President of the Minnesota Senate (1983–1993)",0,9999
3431,David McAlister," actor (Hollyoaks, Doctor Who)",0,9999
3432,Matti Makkonen, telecommunications engineer,0,9999
3433,Richard Matt, convicted murderer and prison escapee,0,9999
3434,Norman Poole, World War II paratrooper,0,9999
3435,Yevgeny Primakov," politician and diplomat, Prime Minister (1998–1999)",0,9999
3436,Gustavo Sainz, writer,0,9999
3437,Kája Saudek, comics illustrator,0,9999
3438,Kal Segrist," baseball player (New York Yankees, Baltimore Orioles)",0,9999
3439,Shiv Singh, artist,0,9999
3440,Alexa Suelzer," author, educator and theologian",0,9999
3441,Chris Thompson," writer and producer (Laverne & Shirley, Bosom Buddies, Shake It Up!)",0,9999
3442,Denis Thwaites, footballer (Birmingham City),0,9999
3443,David Turner," rower, Olympic gold medalist (1948)",0,9999
3444,Donald Wexler, architect,0,9999
3445,Jane Aaron, filmmaker and children's book illustrator (Sesame Street Between the Lions),0,9999
3446,Eric Dunn, cricketer,0,9999
3447,Zvi Elpeleg, diplomat and academic,0,9999
3448,Elery Hamilton-Smith, academic and conservationist,0,9999
3449,Harvey McGregor," barrister, Warden of New College, Oxford (1985–1996)",0,9999
3450,Ghias Mela, politician member of the National Assembly from Sargodha (1997–1999 2002–2007 2008–2013),0,9999
3451,Boris Shilkov," speed skater, Olympic champion (1956)",0,9999
3452,Chris Squire, bass guitarist (Yes),0,9999
3453,Bronius Vyšniauskas, sculptor,0,9999
3454,Ian Allan, publisher (Ian Allan Publishing),0,9999
3455,Pete Athas, football player (New York Giants),0,9999
3456,Goran Brajković, football player,0,9999
3457,Robert C. Broward, architect,0,9999
3458,Jack Carter, comedian (Cavalcade of Stars) and actor (Dr. Kildare Alligator),0,9999
3459,Carlyle Crockwell, football referee,0,9999
3460,Edgar Dawson, rugby league player,0,9999
3461,Dietrich Haugk, film director and voice actor,0,9999
3462,Louis Norberg Howard, mathematician,0,9999
3463,Thomas P. Kennedy, politician,0,9999
3464,Joe Lobenstein, politician,0,9999
3465,Liam Ó Murchú, broadcaster (RTÉ),0,9999
3466,Jope Seniloli," politician, Vice-President (2001–2004)",0,9999
3467,Sivuqaq, walrus and animal actor (50 First Dates),0,9999
3468,Todor Slavov, rally driver,0,9999
3469,Wally Stanowski," ice hockey player (Toronto Maple Leafs, New York Rangers)",0,9999
3470,Ben J. Wattenberg, author and political commentator,0,9999
3471,Bart Williams, documentary filmmaker and actor (MADtv),0,9999
3472,Hisham Barakat, prosecutor,0,9999
3473,Forrest Behm, football player,0,9999
3474,Helge Ole Bergesen, political scientist and politician,0,9999
3475,Ladislav Chudík, actor (Kawasaki's Rose),0,9999
3476,Bill Cross, World War II soldier,0,9999
3477,Willie Daniel," football player (Pittsburgh Steelers, Los Angeles Rams)",0,9999
3478,Rabbe Grönblom, chief executive,0,9999
3479,Clayton Kenny, Olympic boxer (1952),0,9999
3480,Josef Masopust," football player and manager (Dukla Prague, national team)",0,9999
3481,Joseph Bryan Nelson, ornithologist,0,9999
3482,Charles Pasqua," politician, Minister of the Interior (1986–1988, 1993–1995)",0,9999
3483,Bruce Rowland, rock drummer (Fairport Convention),0,9999
3484,Jackson Vroman," basketball player (Phoenix Suns, New Orleans Hornets, Lebanese national team)",0,9999
3485,Charles W. Bagnal, Army lieutenant general,0,9999
3486,Edward Burnham," actor (To Sir, with Love, 10 Rillington Place, Doctor Who)",0,9999
3487,Robert Dewar, computer scientist (AdaCore),0,9999
3488,Charles Harbutt, photographer,0,9999
3489,Ronald Kissell, cricketer,0,9999
3490,Eddy Louiss, jazz organist,0,9999
3491,K. P. P. Nambiar, industrialist,0,9999
3492,Paolo Piffarerio, animator and cartoonist (Alan Ford),0,9999
3493,Arthur Porter, physician,0,9999
3494,Alex Scott, actor,0,9999
3495,Leonard Starr, cartoonist (ThunderCats),0,9999
3496,Khosrow Shakeri Zand, author and human rights activist,0,9999
3497,Nasser al-Hafi," lawyer and politician, MP (since 2012)",0,9999
3498,Cecil, protected lion,0,9999
3499,David P. Craig, chemist,0,9999
3500,Curly Moe, professional wrestler,0,9999
3501,Val Doonican, singer and television presenter,0,9999
3502,N. Ganesan, football administrator,0,9999
3503,Edward Greenfield, music critic and broadcaster,0,9999
3504,Theo Hendriks," politician, member of the House of Representatives (1994–1998)",0,9999
3505,Lawrence Herkimer, cheerleading innovator,0,9999
3506,Jens S. Jensen, photographer,0,9999
3507,Aleksandr Kochetkov, football player and coach,0,9999
3508,Robert La Caze, racing driver,0,9999
3509,Red Lane," country singer and songwriter (""'Til I Get It Right"")",0,9999
3510,Mike Lesser, mathematical philosopher and political activist,0,9999
3511,Miloslava Misáková, Olympic gymnast (1948),0,9999
3512,Shlomo Moussaieff, diamond merchant and antique collector,0,9999
3513,Hans Muller, water polo player,0,9999
3514,Charles Notcutt, horticulturalist,0,9999
3515,Czesław Olech, mathematician,0,9999
3516,Víctor de la Peña Pérez," Roman Catholic prelate, Vicar Apostolic of Requena (1987–2005)",0,9999
3517,Sergio Sollima," director and screenwriter (Face to Face, Sandokan, The Big Gundown)",0,9999
3518,Dan Williams, politician member of the Alabama House of Representatives (since 2010),0,9999
3519,Sir Nicholas Winton, humanitarian organised rescue of 669 children as part of Kindertransport,0,9999
3520,Russell Wood, cricketer (Gloucestershire),0,9999
3521,David Aronson, painter,0,9999
3522,Slavko Avsenik, composer and musician,0,9999
3523,Roy C. Bennett, songwriter,0,9999
3524,Jim Bradley, athletics coach,0,9999
3525,Sir Ronald Davison," judge, Chief Justice (1978–1989)",0,9999
3526,Julius Duscha, journalist,0,9999
3527,Petro Korol," weightlifter, Olympic champion (1976)",0,9999
3528,Tom Longo, football player,0,9999
3529,Charlie Sanders, Hall of Fame football player (Detroit Lions),0,9999
3530,Bob Smalhout, anesthesiologist and politician,0,9999
3531,Jim Weaver, football player (Penn State) and coach (Iowa State) Virginia Tech Hokies Director of Athletics (1997–2014),0,9999
3532,John Whitman, businessman and investment banker First Gentleman of New Jersey (1994–2001),0,9999
3533,Jacobo Zabludovsky, news anchor,0,9999
3534,Steven Benson, convicted murderer,0,9999
3535,Diana Douglas, actress (The Indian Fighter Days of Our Lives Planes Trains and Automobiles),0,9999
3536,Goran Gogić, footballer,0,9999
3537,Agop Jack Hacikyan, author and academic,0,9999
3538,Ralph Lamb," lawman, Sheriff of Clark County, Nevada (1961–1978), depicted in Vegas",0,9999
3539,Arturo Longton," politician, Governor of Marga Marga Province (2010–2012)",0,9999
3540,Humphrey Mwanza," politician, member of the National Assembly for Solwezi West (since 2006)",0,9999
3541,Boyd K. Packer," apostle of The Church of Jesus Christ of Latter-day Saints, President of the Quorum of the Twelve (since 2008)",0,9999
3542,Amanda Peterson," actress (Can't Buy Me Love, Explorers)",0,9999
3543,Yogesh Kumar Sabharwal," judge, Chief Justice (2005–2007)",0,9999
3544,Odd Seim-Haugen, barrister and sports official,0,9999
3545,Jacques Sernas," actor (Helen of Troy, The Dirty Game, Midas Run)",0,9999
3546,Charanjit Singh, musician,0,9999
3547,Gary Smith, business analyst,0,9999
3548,György Szabad," politician and historian, Speaker of the National Assembly (1990–1994)",0,9999
3549,Wayne Townsend," politician, Indiana State Senator (1970–1986)",0,9999
3550,Phil Walsh, football player (Collingwood Richmond Brisbane Bears) and coach (Adelaide),0,9999
3551,John A. Williams, writer,0,9999
3552,Franz-Josef Wolfframm, footballer,0,9999
3553,Peter Záboji, angel investor and entrepreneur,0,9999
3554,Abdullah bin Abdulaziz bin Musa'ed bin Jiluwi Al Saud," politician, Governor of Northern Borders Region",0,9999
3555,Muhammad Baqir al-Muhri, ayatollah,0,9999
3556,Dave Barber, talk radio and television host,0,9999
3557,Nedelcho Beronov," jurist and politician, Chairman of the Constitutional Court (2003–2006)",0,9999
3558,Scot Breithaupt, BMX cyclist,0,9999
3559,Arnold Byfield, sportsman (Western Australia cricket team and Melbourne Football Club),0,9999
3560,Carlo de Gavardo, rally car and motorcycle racer,0,9999
3561,William Conrad Gibbons, historian,0,9999
3562,Reynaldo González López, sports administrator,0,9999
3563,John Hinds, motorcycle race doctor,0,9999
3564,Norbert Peters, scientist,0,9999
3565,Anthony F. Upton, historian,0,9999
3566,Alan Walton, biochemist and venture capitalist,0,9999
3567,Charles Winick," anthropologist, sociologist and author",0,9999
3568,Yu Chenghui, actor and martial artist,0,9999
3569,Andrew Alexander, journalist (The Daily Mail),0,9999
3570,Archduchess Dorothea of Austria, princess,0,9999
3571,James Bonard Fowler, policeman and convicted manslaughterer,0,9999
3572,Sir Philip Goodhart," politician, MP for Beckenham (1957–1992)",0,9999
3573,Uffe Haagerup, mathematician,0,9999
3574,Svein Hatløy," architect, founded Bergen School of Architecture",0,9999
3575,Murray Janoff, sportswriter,0,9999
3576,Terence Kelshaw," Episcopal prelate, Bishop of Rio Grande (1989–2004)",0,9999
3577,Hernus Kriel," politician, Premier of the Western Cape (1994–1998), Minister of Law and Order (1991–1994)",0,9999
3578,Piet Malan, rugby union player,0,9999
3579,James S. Marcus, philanthropist and investment banker,0,9999
3580,Joseph McKenzie, photographer,0,9999
3581,Sakari Momoi, supercentenarian world's oldest living man,0,9999
3582,Aleksandra Mróz, Olympic swimmer,0,9999
3583,Yoichiro Nambu," physicist, Nobel Prize laureate",0,9999
3584,Burt Shavitz," beekeeper and businessman, co-founder of Burt's Bees",0,9999
3585,Abderrahmane Soukhane, football player,0,9999
3586,Jack Steadman, football executive (Kansas City Chiefs),0,9999
3587,"Gordon Thompson, Jr.", judge,0,9999
3588,Aaron E. Wasserman, food scientist,0,9999
3589,Julio Angel, rock pop and bolero singer,0,9999
3590,Michael Birck, executive (Tellabs),0,9999
3591,Camille Bob, rhythm and blues singer,0,9999
3592,Stan Carew," radio broadcaster, musician and actor (This Hour Has 22 Minutes, Trailer Park Boys)",0,9999
3593,Raymond Dean, psychologist,0,9999
3594,Nazier Dindar, cricketer,0,9999
3595,Victor Warren Fazio, surgeon,0,9999
3596,Ramanathan Gnanadesikan, statistician,0,9999
3597,Masabumi Kikuchi, jazz pianist,0,9999
3598,Sir John Lambert," diplomat, Ambassador to Tunisia (1977–1981)",0,9999
3599,Luigi Martella, Roman Catholic prelate Bishop of Molfetta-Ruvo-Giovinazzo-Terlizzi (since 2000),0,9999
3600,John Maxtone-Graham, maritime historian,0,9999
3601,Rachel Margolis, World War II partisan and Israeli biologist,0,9999
3602,Bhattam Srirama Murthy, politician,0,9999
3603,Don Petrie, soccer player and coach,0,9999
3604,Daniel Quinn, actor (The Young and the Restless),0,9999
3605,Franco Scaglia," writer and journalist, won Campiello Prize (2002)",0,9999
3606,Fraser Scott, army officer,0,9999
3607,Virginia Shehee," businesswoman and politician, member of the Louisiana State Senate (1976–1980)",0,9999
3608,Jerry Weintraub, film producer (Ocean's Eleven Diner The Karate Kid) chairman and CEO of United Artists,0,9999
3609,Maria Barroso, actress and politician First Lady (1986–1996),0,9999
3610,Leonard Bodack, politician,0,9999
3611,Keith Brown," politician, member of the Legislative Assembly of Ontario (1959–1967)",0,9999
3612,Julia Buencamino, actress (Oh My G!),0,9999
3613,Bako Dagnon, singer,0,9999
3614,Jean Délémontez, aircraft designer (Jodel),0,9999
3615,Eva Fischer, artist,0,9999
3616,Pierre MacDonald," politician, member of the National Assembly of Quebec (1985–1989)",0,9999
3617,Bob MacKinnon, basketball coach (New Jersey Nets) and athletic director (Canisius Golden Griffins),0,9999
3618,Jaime Morey," singer (""Amanece"")",0,9999
3619,Craig Norgate," businessman, CEO of Fonterra (2001–2003)",0,9999
3620,Fons van Wissen," footballer (PSV Eindhoven, national team)",0,9999
3621,Donald Wood, politician,0,9999
3622,Hisato Aikura, music critic,0,9999
3623,Muhsin al-Fadhli, militant,0,9999
3624,Robert Campos, actor,0,9999
3625,Casimir Ehrnrooth, executive,0,9999
3626,Bill Foord, cricketer,0,9999
3627,Daniel Kastler, theoretical physicist,0,9999
3628,Irwin Keyes," actor (House of 1000 Corpses, The Jeffersons, The Flintstones)",0,9999
3629,Arne Kotte, footballer,0,9999
3630,Paul J. Lioy, environmental scientist,0,9999
3631,Dewitt Lowrey, World War II soldier,0,9999
3632,Ernie Maresca," songwriter (""Runaround Sue"", ""The Wanderer"") and singer",0,9999
3633,Ramiro Martinez, sportscaster,0,9999
3634,Charles J. McCann," academic, president of The Evergreen State College",0,9999
3635,Harry Messel, physicist,0,9999
3636,Lloyd Reckord, actor and director,0,9999
3637,Philippe Rochat, chef,0,9999
3638,Frances Shea-Buckley," rear admiral, Director of the Navy Nurse Corps (1979–1983)",0,9999
3639,Lucita Soriano, actress,0,9999
3640,Harry Stowers," judge, member of the New Mexico Supreme Court (1982–1989)",0,9999
3641,James Tate, Pulitzer Prize-winning poet,0,9999
3642,Yoash Tzidon, politician,0,9999
3643,Walter Van Gerven," law professor, Advocate General on the European Court of Justice (1988–1994)",0,9999
3644,Saud bin Faisal bin Abdulaziz Al Saud," royal, Minister of Foreign Affairs (1975–2015)",0,9999
3645,Jim Bede, aircraft designer,0,9999
3646,Caspar Bowden, privacy advocate,0,9999
3647,Seán Foran, Gaelic football player (Offaly),0,9999
3648,Paul Gebhard, sexologist,0,9999
3649,Bill Hunter, political activist and author,0,9999
3650,C. Fred Jones, politician,0,9999
3651,Michael Masser," songwriter (""Saving All My Love for You"" ""Theme from Mahogany (Do You Know Where You're Going To)"")",0,9999
3652,Bashar Nawaz, Urdu poet and songwriter,0,9999
3653,Sriballav Panigrahi," politician, member of the Lok Sabha (1984–1989, 1991–1998)",0,9999
3654,David M. Raup, paleontologist,0,9999
3655,Bent Rolstad, anatomist,0,9999
3656,Tahsin Şahinkaya," air force general, Commander (1978–1983)",0,9999
3657,Christian Audigier, fashion designer (Ed Hardy Von Dutch),0,9999
3658,David Bowman," Episcopal prelate, Bishop of Western New York (1987–1998)",0,9999
3659,Woody Bowman, politician member of the Illinois House of Representatives (1977–1990),0,9999
3660,Sam Bulbulia, cricketer,0,9999
3661,Aldana Carraro, gymnast,0,9999
3662,Rosemary Dinnage, author and reviewer,0,9999
3663,Hussein Fatal, rapper (Outlawz),0,9999
3664,Peter Jones, journalist and author,0,9999
3665,Arthur Koning, Olympic coxswain (1968),0,9999
3666,Diarmuid Mac an Adhastair, actor (Ros na Rún),0,9999
3667,Jimmy Murray, footballer,0,9999
3668,Leo Muthu, educationist and businessman,0,9999
3669,Mohammad Abdul Qayyum Khan," politician, Prime Minister of Azad Jammu and Kashmir (1956–1957, 1970–1985, 1991–1996)",0,9999
3670,Roger Rees, actor (Cheers Robin Hood: Men in Tights The West Wing) Tony Award winner (1982),0,9999
3671,Jon Vickers, heldentenor,0,9999
3672,Grahame Vivian, army officer,0,9999
3673,Claudia Alexander, geophysicist and planetary scientist (Jet Propulsion Laboratory),0,9999
3674,Stig Andersson, Olympic cyclist,0,9999
3675,Joyce M. Bennett, Anglican priest,0,9999
3676,Giacomo Biffi," Roman Catholic cardinal, Archbishop of Bologna (1984–2003)",0,9999
3677,"Mark Birdwood, 3rd Baron Birdwood", peer and politician,0,9999
3678,Patricia Crone, historian and author (Hagarism),0,9999
3679,James U. Cross," military pilot (Air Force One), aide and author",0,9999
3680,Salvador Dubois Leiva, football player and coach,0,9999
3681,Max Fischer, politician,0,9999
3682,Alfred E. France, politician member of the Minnesota House of Representatives (1963–1970),0,9999
3683,Đuka Galović, folk musician,0,9999
3684,Satoru Iwata, game programmer (Super Smash Bros. Pokémon) president and CEO of Nintendo (since 2002),0,9999
3685,Lawrence K. Karlton, federal judge US District Court for Eastern California (1979–2015),0,9999
3686,Richard F. Kelly," politician, member of the Illinois House of Representatives and Senate",0,9999
3687,Peter de Klerk, racing driver,0,9999
3688,Consuelo de Sánchez Latour, author,0,9999
3689,André Leysen, executive,0,9999
3690,Bunny Mack, musician,0,9999
3691,P. Chendur Pandian," politician, Tamil Nadu MLA for Kadayanallur (since 2011)",0,9999
3692,Ota Petřina, guitarist and songwriter,0,9999
3693,Thomas Piccirilli, writer,0,9999
3694,J.P.C. Roach, historian,0,9999
3695,Bojan Udovič, Olympic cyclist (1980),0,9999
3696,D'Army Bailey, civil rights campaigner judge and actor (The People vs. Larry Flynt) founder of the National Civil Rights Museum,0,9999
3697,Cheng Siwei," economist, President of the China Democratic National Construction Association (1996–2007)",0,9999
3698,Omar Félix Colomé," Roman Catholic prelate, Bishop of Cruz del Eje (1984–2008)",0,9999
3699,JaJuan Dawson, football player (Cleveland Browns),0,9999
3700,Tenzin Delek Rinpoche, Buddhist monk and political prisoner,0,9999
3701,Mahlon Duckett, baseball player (Philadelphia Stars),0,9999
3702,Helen F. Holt, politician Secretary of State of West Virginia (1957–1959) member of the West Virginia House of Delegates (1955–1957),0,9999
3703,Chenjerai Hove, exiled author journalist and poet,0,9999
3704,Javier Krahe, singer-songwriter,0,9999
3705,Bosse Larsson, television presenter (Allsång på Skansen),0,9999
3706,Buddy Lively, baseball player (Cincinnati Reds),0,9999
3707,Milorad Milutinović, football player and manager (Neuchâtel Xamax),0,9999
3708,Bafana Mlangeni, actor,0,9999
3709,Sir John Buchanan," natural resource executive, CFO for BP (1996–2002), Director of BHP Billiton (2003–2015), Chairman of ARM Holdings",0,9999
3710,J. R. Gach, radio personality,0,9999
3711,Philipp Mißfelder, politician member of the Bundestag (since 2005),0,9999
3712,Arturo Paoli, Roman Catholic priest and missionary,0,9999
3713,Michael Rayner, opera singer,0,9999
3714,Ildikó Schwarczenberger," fencer, Olympic champion (1976)",0,9999
3715,Joan Sebastian, singer and songwriter,0,9999
3716,Campbell Smith," artist, poet and playwright",0,9999
3717,Martin Litchfield West, classical scholar,0,9999
3718,Eric Wrixon," keyboardist (Them, Thin Lizzy)",0,9999
3719,Gerhard Zwerenz," writer and politician, member of the Bundestag (1994–1998)",0,9999
3720,Willer Bordon," businessman and politician, Minister of the Environment (2000–2001)",0,9999
3721,Sir Sam Burston, farmer,0,9999
3722,Yohanna Dickson," military officer, Governor of Taraba (1993–1997)",0,9999
3723,George Gardner Fagg," federal judge, United States Court of Appeals for the Eighth Circuit (1982–2006)",0,9999
3724,Wolf Gremm, film director and screenwriter,0,9999
3725,Gerd Gudding, musician,0,9999
3726,Ismet Hadžić, footballer,0,9999
3727,Masao Horiba," businessman, founded Horiba",0,9999
3728,Nobuo Mii, computer executive (IBM),0,9999
3729,Mansour Nariman, oud player,0,9999
3730,Olaf Pooley," actor (Doctor Who, Star Trek: Voyager, Sunday Night Theatre) and writer",0,9999
3731,Marlene Sanders, television news executive (ABC World News Tonight CBS News) and journalist,0,9999
3732,Alby Schultz, politician NSW MP for Burrinjuck (1988–1998) federal MP for Hume (1998–2013),0,9999
3733,Dave Somerville, singer (The Diamonds),0,9999
3734,M. S. Viswanathan, music composer and film scorer,0,9999
3735,Masahiko Aoki, economist,0,9999
3736,Phil Cayzer, rower,0,9999
3737,Federico Cerruti, art collector,0,9999
3738,Alan Curtis," harpsichordist, conductor and scholar",0,9999
3739,"Alexis FitzGerald, Jnr"," politician, member of the Seanad Éireann (1982–1987) and Teachta Dála (1982), Lord Mayor of Dublin (1981–1982)",0,9999
3740,Aubrey Morris," actor (A Clockwork Orange, Love and Death, The Wicker Man)",0,9999
3741,Sheila Ramani, actress,0,9999
3742,Howard Rumsey," modern jazz double bassist, bandleader and nightclub owner",0,9999
3743,Wan Li," politician, Chairman of the National People's Congress (1988–1993)",0,9999
3744,Jacques Thébault, actor,0,9999
3745,Fred Wendorf, archaeologist,0,9999
3746,Rogi Wieg, writer and musician,0,9999
3747,Denis Avey, World War II veteran and memoirist,0,9999
3748,Joseph Caprani, cricket player and umpire,0,9999
3749,Evelyn Ebsworth," chemist and university administrator, Vice-Chancellor and Warden of Durham University (1990–1998)",0,9999
3750,Alcides Ghiggia, football player and manager (Peñarol),0,9999
3751,John H. Gibbons," scientist, Director of the Office of Science and Technology Policy (1993–1998)",0,9999
3752,Sir Jack Goody, social anthropologist,0,9999
3753,Brian Hall, footballer (Liverpool),0,9999
3754,Alan Kupperberg, comic book artist (The Amazing Spider-Man Thor Iron Man),0,9999
3755,Jean Lacouture, journalist and historian,0,9999
3756,Jim Mayne," politician, leader of Prince Edward Island New Democratic Party (1983–1989)",0,9999
3757,V. Ramakrishna, playback singer and film scorer,0,9999
3758,Moreshwar Save," politician, MP for Aurangabad (1989–1996)",0,9999
3759,Veikko Savela, politician,0,9999
3760,Pranciškus Tupikas, politician,0,9999
3761,W. Wilbert Welch, theologian,0,9999
3762,Milton L. Wood," Episcopal prelate, Bishop Suffragan of Atlanta (1967–1974)",0,9999
3763,"Andal Ampatuan, Sr.", politician Governor of Maguindanao suspect in the Maguindanao massacre,0,9999
3764,Bill Arnsparger, football coach (New York Giants LSU Tigers) and athletic director (University of Florida),0,9999
3765,Jules Bianchi, Formula One driver,0,9999
3766,Owen Chadwick," historian, theologian, and rugby player",0,9999
3767,Murray Feingold, physician and medical journalist,0,9999
3768,Francis P. Filice, priest and academic,0,9999
3769,Don Fontana, tennis player,0,9999
3770,Duff Holbrook," biologist and outdoorsman, designer of rocket net for use in hunting",0,9999
3771,Ray Jessel, scriptwriter and songwriter (Baker Street),0,9999
3772,William C. Kuebler, military officer appointed lawyer for Omar Khadr,0,9999
3773,John McCluskey, boxer,0,9999
3774,Van Miller, football announcer (Buffalo Bills),0,9999
3775,James Nyondo, politician,0,9999
3776,Susumu Okubo, theoretical physicist,0,9999
3777,Nova Pilbeam," actress (The Man Who Knew Too Much, Young and Innocent, Tudor Rose)",0,9999
3778,John Taylor, jazz pianist,0,9999
3779,Dick van Bekkum, radiobiologist,0,9999
3780,Tim Beaglehole, historian and educator chancellor of Victoria University,0,9999
3781,Sushil Bhattacharya," football player, men's (East Bengal) and women's (national team) coach",0,9999
3782,Elmer Borstad, politician,0,9999
3783,Buddy Buie," songwriter (""Spooky"" ""Traces"")",0,9999
3784,George Coe," actor (Kramer vs. Kramer, The Mighty Ducks, Archer)",0,9999
3785,Neal Falls, murder suspect,0,9999
3786,Lou Gardiner, military officer Chief of the Army (2003–2006),0,9999
3787,Priscilla Kincaid-Smith,"-Australian nephrologist, discovered the link between phenacetin and kidney cancer",0,9999
3788,Athanasios Moulakis, historian and political scientist,0,9999
3789,Alex Rocco, actor (The Godfather The George Carlin Show The Facts of Life) Emmy winner (1990),0,9999
3790,Hugh Stretton, historian,0,9999
3791,Per Tønder, politician,0,9999
3792,Wang Fuzhou, mountain climber,0,9999
3793,Allan Willett," soldier and businessman, Lord-Lieutenant of Kent (2002–2011)",0,9999
3794,Brock Winkless," puppeteer and visual effects technician (Child's Play, Tales from the Crypt, Terminator 2: Judgment Day)",0,9999
3795,Yang Ko-han, actress,0,9999
3796,Van Alexander," big band leader songwriter-arranger (""A-Tisket A-Tasket"") film and television composer (I Dream of Jeannie Bewitched The Donna Reed Show)",0,9999
3797,Rugger Ardizoia, baseball player (New York Yankees),0,9999
3798,Stellan Bojerud," politician, MP for Dalarna (2012–2015)",0,9999
3799,Douglas S. Cook," screenwriter (The Rock, Double Jeopardy)",0,9999
3800,Elio Fiorucci, fashion designer,0,9999
3801,Josh Greenberg," technology executive, co-founder of Grooveshark",0,9999
3802,Lalubha Jadeja, cricketer,0,9999
3803,Richard Ochoa, cyclist,0,9999
3804,Bryan O'Linn," jurist and human rights advocate, member of the High Court (1989–1999) and Supreme Court (1999–2006)",0,9999
3805,Bernat Martínez, motorcycle racer,0,9999
3806,Sybren Polet, writer,0,9999
3807,Galina Prozumenshchikova," Soviet-era swimmer, Olympic champion (1964)",0,9999
3808,Carmino Ravosa, composer and lyricist,0,9999
3809,Dani Rivas, motorcycle racer,0,9999
3810,David Roth, opera director and manage,0,9999
3811,Gennadiy Seleznyov," politician, Speaker of the Duma (1996–2003)",0,9999
3812,Mildred Joanne Smith," actress (No Way Out) and educator, survivor of National Airlines Flight 101 crash",0,9999
3813,Václav Snítil, violinist and teacher,0,9999
3814,Jean Alfred, politician,0,9999
3815,George Bon Salle, basketball player,0,9999
3816,Wayne Carson," songwriter (""The Letter"", ""Always on My Mind"", ""Neon Rainbow"")",0,9999
3817,Fred Else, footballer (Preston North End),0,9999
3818,Ron Fitch, railway historian,0,9999
3819,Sally Gross, dancer and choreographer,0,9999
3820,Des Horne, footballer (Blackpool),0,9999
3821,Kafumba Konneh," Islamic cleric, peace activist and public servant, commissioner of the Truth and Reconciliation Commission",0,9999
3822,Dieter Moebius," electronic musician (Cluster, Harmonia, Moebius & Plank)",0,9999
3823,Tom Moore, cartoonist (Archie),0,9999
3824,Sieghardt Rupp, actor,0,9999
3825,Raymond Stora, theoretical physicist,0,9999
3826,Shunsuke Tsurumi, philosopher and anti-war activist,0,9999
3827,Giorgos Velentzas, actor,0,9999
3828,Colin Youren, football player (Hawthorn),0,9999
3829,Mitch Aliotta," musician (Rotary Connection, Aliotta Haynes Jeremiah)",0,9999
3830,Theodore Bikel," actor (The Defiant Ones, My Fair Lady, Fiddler on the Roof), folk singer and composer",0,9999
3831,Robert Broberg, singer and songwriter,0,9999
3832,Luiz Paulo Conde," politician and architect, Mayor of Rio de Janeiro (1997–2001)",0,9999
3833,Charlie Cullinane, hurler (Cork),0,9999
3834,William R. Dickinson," geoscientist, member of the National Academy of Sciences",0,9999
3835,Buddy Emmons, steel guitarist,0,9999
3836,Paul Freeman," music conductor, founder of Chicago Sinfonietta",0,9999
3837,Günter Fronius, entrepreneur,0,9999
3838,Gelsen Gas, artist and filmmaker,0,9999
3839,Nicholas Gonzalez, physician known for alternative cancer treatments,0,9999
3840,T. Kanakam, actress,0,9999
